id,brand,name,category,layer,slide,enter,use,finish,media,clips,images
XMI-F01,小米,小爱全局唤醒,系统入口,系统入口,3,语音 / 电源键 / 双击导航条；新小白条可按住说话,口述任务；按住说话时抬手提交,检查回答或执行回执；收起面板＊,video,X4-V03,IMG-207|EXT-012
XMI-F02,小米,连续语音陪伴,系统入口,系统入口,3,唤醒小爱说打开陪伴模式，或点小爱陪伴,持续语音对话；片中已处于陪伴界面,暂停与关闭按钮可见；片段未实际退出,video,XCOMP8-01,XCOMP8-ENTRY|XMIT7-21
XMI-F03,小米,专家模式与代执行,系统入口,系统入口,4,进入专家模式后描述复杂任务,提出任务并授权所需数据 → 核对计划与敏感动作,查看完成结果；退出路径待补实机,video,XM-01,
XMI-F04,小米,跨设备接力,系统入口,系统入口,4,描述电脑文件名或接续同一会话,确认关联设备和文件,在手机查看结果并继续；退出路径待补实机,video,X4-V11,IMG-205
XMI-F05,小米,当前屏幕问答,当前屏幕问答,条件入口,5,相机已打开时唤醒小爱，询问当前画面；具体唤醒动作未见,上传含相机控件的画面并生成环境描述；附件拍摄与添加屏幕按钮未演示,返回关闭小爱浮层，恢复原相机；具体手势未见，未退出相机,video,XC22-01|XC22-02|XC22-03,EXT-010|XC22-UPLOAD|XC22-ANSWER|XC22-UPLOAD-THUMB|XC22-UPLOAD-CONTROLS
XMI-F06,小米,圈屏选对象,圈屏交互,条件入口,6,先唤醒小爱；识物片从圈选开始，日程片从已有菜单开始,圈对象→问小爱；日程支线点创建日程,看回答或日历回执；未关闭，也未打开日历核对,video,XC15-01|XC15-02,EXT-010
XMI-F07,小米,灵感球指向操作,屏幕与对象,条件入口,7,边缘侧滑停顿呼出灵感球，再拖向攻略中的地址,同时说导航请求并松手，查看路线结果,原片停在路线待确认；未展示开始导航或返回原任务,video,X4-V04|X4-V05|X4-V06|X4-V07,
XMI-F08,小米,相机拍照问答,屏幕与对象,条件入口,7,历史图见小爱输入栏左侧拍照按钮；未演示点击,拍摄后提问据文档；取景与问答画面仍待补,未展示完成、返回或关闭；仅补历史入口控件图,image,,XC25-CAMERA-ENTRY|XC25-CAMERA-CONTROL
XMI-F19,小米,本地图片与文档问答,屏幕与对象,条件入口,7,小爱对话附件入口选择本地图片或文档；图仅见右侧＋按钮,添加材料后提问；选择器、提交与回答画面未展示,核对答案；返回或关闭路径未展示,image,,XC22-ATTACHMENT-ENTRY|EXT-012
XMI-F09,小米,记忆保存与管理,小爱记忆管理,条件入口,8,自动记忆与数据源见设置图；新片从已有记忆列表开始,浏览分类和条目；中途详情仅见加载中,滑退回“我的”页；未新增、编辑或删除记忆,video,XM26-01,IMG-212|EXT-008
XMI-F10,小米,自然语言找内容,记忆与主动建议,条件入口,9,唤醒小爱,描述要找的照片、文档等内容,查看匹配结果,image,,IMG-194
XMI-F11,小米,超级岛进度与结果,记忆与主动建议,条件入口,9,任务进行中查看或点击超级岛,任务在超级岛显示进度,点击回到任务或查看自动展开的结果；退出路径待补实机,video,X4-V01|X4-V02,
XMI-F12,小米,首页个性化推荐（入口待核）,记忆与主动建议,条件入口,9,首页到达方式待核,政策声明个性化推荐；卡片形态待核,单卡接受、忽略及返回均待核,gap,,
XMI-F13,小米,小爱输入法,写作与办公,应用AI入口,10,编辑框打开小爱输入法，输入或口述原文,打开AI表达，选正式等风格并预览,选候选后核对再发送；图未展示发送动作,image,,XMI-F13-DETAIL7-0|XMI-F13-DETAIL7-1|XMI-F13-DETAIL7-2|XMIKEY7-A|XMIKEY7-B|XMIKEY7-C|XMIKEY7-MEMORY|XMIT7-28|XMIT7-29
XMI-F14,小米,手机办公套件,写作与办公,应用AI入口,10,点办公套件；网页也可直接向小爱提要求,说明主题，查看生成回执，再打开网页结果,检查内容；本组图未展示导出或退出,image,,XOFF8-ENTRY|XOFF8-REQUEST|XOFF8-RESULT|XMIT7-21|XOFF8-13
XMI-F16,小米,录音会议总结,写作与办公,应用AI入口,11,录音机开始录音；打开录音详情的AI识音,看会议总结、原文与AI大纲，按时间回听,保存录音并返回；图中未展示点击操作,image,,XC8-REC-SUMMARY|XC8-REC-OUTLINE|XC8-REC-FULL
XMI-F15,小米,笔记速记与整理,笔记语音速记入口,应用AI入口,12,笔记列表点底部麦克风,语音速记面板展开，计时与波形变化,片尾仍在录音；停止和总结未拍,video,XM40-01,XMI-F15-DETAIL7-0|XMI-F15-DETAIL7-1|XMI-F15-DETAIL7-2|XMINOTE7-A|XMINOTE7-B|XMINOTE7-C|XMINOTE7-TRANSCRIPT|XMINOTE7-SUMMARY|XMINOTE7-QA|XMIT7-25|XMIT7-26|XMIT7-27|XMI-NOTE-V3
XMI-F17,小米,AI自动代接,通话与影像,应用AI入口,13,待上线：官网预计9月中旬；上线后口述代接时段,核对启用状态，按设定由AI代接,查看摘要与回复建议；当前不作为已上线实测,gap,,
