id,brand,name,assistant,version,model_scope,market,status,family,surface,trigger,modalities,context,referential_type,referential_modes,capabilities,action_result,limitations,evidence_ids,evidence_grade,flow_steps,media_ids,visual_status,video_status,verification_note,entry_evidence_grade,source_type,source_path,created_in,feature_id,feature_name,slide,source_urls
XMI-E001,xiaomi,语音唤醒小爱,超级小爱,HyperOS 2起；小爱版本依分发渠道,官方适配的小米/REDMI手机；不含平板演示,中国大陆,已提供／机型限定,语音唤醒,系统全局,说唤醒词后提出请求,语音,当前内容与已授权个人上下文,无指代,无指代,问答 | 设备控制 | 日程 | 导航 | 应用操作,检查结果或响应确认,需配置语音唤醒；大模型功能需账号；锁屏敏感内容需解锁,N-X03 | N-X02,A,说唤醒词 | 说明任务与必要参数 | 检查结果或响应确认,EXT-012,有界面/功能示意（见媒体边界）,VIDEO_GAP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F01,小爱全局唤醒,3,https://app.mi.com/details?id=com.miui.voiceassist | https://privacy.mi.com/xiaomihyperxiaoai/zh_CN/
XMI-E002,xiaomi,电源键唤醒,超级小爱,HyperOS 2起；小爱版本依分发渠道,官方适配的小米/REDMI手机；不含平板演示,中国大陆,已提供／机型限定,物理按键,机身电源键,按已设置的电源键唤醒方式并说话,触控/按键 | 语音,当前内容与已授权个人上下文,无指代,无指代,问答 | 系统控制,检查回应,需开启对应唤醒方式；公开应用说明未给所有机型统一按压时长,N-X03 | N-X02,A,用电源键唤起小爱 | 说出请求 | 检查回应,EXT-012,有界面/功能示意（见媒体边界）,VIDEO_GAP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F01,小爱全局唤醒,3,https://app.mi.com/details?id=com.miui.voiceassist | https://privacy.mi.com/xiaomihyperxiaoai/zh_CN/
XMI-E003,xiaomi,双击底部手势提示线,超级小爱,HyperOS 2起；小爱版本依分发渠道,官方适配的小米/REDMI手机；不含平板演示,中国大陆,已提供／机型限定,导航条／Home,底部手势区域,双击底部手势提示线,触控/按键,当前内容与已授权个人上下文,整屏隐式指代,整屏隐式指代,唤醒助手 | 屏幕问答,检查回答,旧交互说明仍见于应用商店；与HyperOS4长按小白条分开列示,N-X03 | N-X02,A,双击底部手势提示线 | 说明与当前画面有关的请求 | 检查回答,EXT-012,有界面/功能示意（见媒体边界）,VIDEO_GAP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F01,小爱全局唤醒,3,https://app.mi.com/details?id=com.miui.voiceassist | https://privacy.mi.com/xiaomihyperxiaoai/zh_CN/
XMI-E004,xiaomi,长按小白条，按住说话,超级小爱,HyperOS 4 Beta / 超级小爱8.1+,官方适配的小米/REDMI手机；不含平板演示,中国大陆,Beta／机型限定,导航条／Home,屏幕底部导航条,长按小白条，按住说话后抬手,触控/按键 | 语音,当前内容与已授权个人上下文,整屏隐式指代,整屏隐式指代,即时问答 | 系统操作,检查回答或执行结果,HyperOS4 Beta；小爱需8.1+；当前屏幕读取受权限影响,N-X01,A,按住底部小白条并说出任务 | 抬手提交 | 检查回答或执行结果,X4-V03,有界面/功能示意（见媒体边界）,LOCAL_CLIP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F01,小爱全局唤醒,3,https://os.mi.com/ | https://cdn-file.hyperos.mi.com/assets-hyperos4homepage/video/ai-barLite-pc.mp4
XMI-E005,xiaomi,超级小爱App,超级小爱,HyperOS 2起；小爱版本依分发渠道,官方适配的小米/REDMI手机；不含平板演示,中国大陆,已提供／机型限定,桌面与搜索,桌面应用图标,点开超级小爱并输入文字或语音,触控/按键 | 语音,当前内容与已授权个人上下文,无指代,无指代,问答 | 多模态附件 | 会话历史,查看回答并继续追问,应用分发版本与系统内置版本可能不同，不能由商店版本推断8.1已全面推送,N-X03 | N-X02,A,打开超级小爱 | 输入问题或添加材料 | 查看回答并继续追问,IMG-207,有界面/功能示意（见媒体边界）,VIDEO_GAP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F01,小爱全局唤醒,3,https://app.mi.com/details?id=com.miui.voiceassist | https://privacy.mi.com/xiaomihyperxiaoai/zh_CN/
XMI-E010,xiaomi,陪伴模式／连续语音对话,超级小爱,HyperOS 2起；小爱版本依分发渠道,官方适配的小米/REDMI手机；不含平板演示,中国大陆,已提供／机型限定,语音唤醒,小爱会话,说“打开陪伴模式”,触控/按键 | 语音,当前内容与已授权个人上下文,对话指代,对话指代,连续对话 | 追问,点击退出或结束收音,应用商店注明陪伴模式仅手机；语音连续对话需相应开关,N-X03 | N-X02,A,唤醒小爱并请求陪伴模式 | 持续对话与追问 | 点击退出或结束收音,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F02,连续语音陪伴,3,https://app.mi.com/details?id=com.miui.voiceassist | https://privacy.mi.com/xiaomihyperxiaoai/zh_CN/
XMI-E012,xiaomi,专家模式选择器,超级小爱,HyperOS 4 Beta / 超级小爱8.1+,官方适配的小米/REDMI手机；不含平板演示,中国大陆,Beta／机型限定,原生应用 AI,小爱会话模式选择,进入专家模式后描述复杂任务,触控/按键,当前内容与已授权个人上下文,对话指代,对话指代,复杂任务 | 个人信息检索 | 家居备车 | 定时执行,查看完成结果,仅部分机型；第三方应用及家居汽车设备需支持；修改删除外发前确认,N-X01,A,打开小爱并选择专家模式 | 提出任务并授权所需数据 | 核对计划与敏感动作 | 查看完成结果,,VISUAL_GAP_SOURCE_LINK_ONLY,VIDEO_GAP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F03,专家模式与代执行,4,https://os.mi.com/
XMI-E027,xiaomi,手机发起隔空取件／对话接力,超级小爱,HyperOS 4 Beta / 超级小爱8.1+,官方适配的小米/REDMI手机；不含平板演示,中国大陆,Beta／机型限定,原生应用 AI,手机小爱会话,描述电脑文件名或接续同一会话,触控/按键,当前内容与已授权个人上下文,对话指代,对话指代,跨端文件检索 | 会话接续,在手机查看结果并继续,两端同账号；首连需邻近同网；电脑联网未睡眠、服务运行；专家模式,N-X01,A,在手机小爱提出电脑文件或接续请求 | 确认关联设备和文件 | 在手机查看结果并继续,X4-V11 | IMG-205,有界面/功能示意（见媒体边界）,LOCAL_CLIP,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F04,跨设备接力,4,https://os.mi.com/ | https://cdn-file.hyperos.mi.com/assets-hyperos4homepage/video/ai-relayPhone-pc-0812.mp4
XMI-E006,xiaomi,对话面板添加当前屏幕,超级小爱,HyperOS 2起；小爱版本依分发渠道,官方适配的小米/REDMI手机；不含平板演示,中国大陆,已提供／机型限定,识屏与圈选,小爱对话框上方,唤醒后点击添加屏幕，或直接问当前内容,触控/按键,当前内容与已授权个人上下文,整屏隐式指代,整屏隐式指代,屏幕问答 | 网页文档理解,查看回答,可在隐私设置关闭屏幕内容获取；文档只按可访问页面内容处理,N-X03 | N-X02,A,唤醒小爱 | 添加屏幕或明确当前屏幕请求 | 查看回答,EXT-010 | XC22-01 | XC22-02 | XC22-03,历史当前画面问答支线已见；点击添加屏幕按钮未见,LOCAL_MP4_HISTORICAL_CONTEXT,2026-09-08官方文字核对；宣传演示与正式OTA状态分别记录。,,,,,XMI-F05,当前屏幕问答,5,https://app.mi.com/details?id=com.miui.voiceassist | https://privacy.mi.com/xiaomihyperxiaoai/zh_CN/ | https://bbs.tatans.cn/topic/78284
XMI-E007,xiaomi,圈屏：划线或圈定对象,超级小爱,HyperOS 2起；小爱版本依分发渠道,官方适配的小米/REDMI手机；不含平板演示,中国大陆,已提供／机型限定,识屏与圈选,小爱唤醒后的屏幕覆盖层,唤醒后用手指圈选内容,触控/按键,当前内容与已授权个人上下文,圈选／框选,圈选／框选,图片解读 | 对象问答 | 服务建议,检查结果,圈屏与灵感球为两条入口；不同代际界面需要按录屏注明,N-X03 | N-X02 | XC15-S01,A,唤醒小爱 | 圈出目标内容 | 输入问题或选择推荐动作 | 检查结果,XC15-01 | XC15-02,COMMUNITY_HANDSON_REVIEWED_V15,LOCAL_MP4,2025年HyperOS3社区实录逐帧核图；首次唤醒、关闭及日历独立核对未展示。,,,,,XMI-F06,圈屏选对象,6,https://app.mi.com/details?id=com.miui.voiceassist | https://privacy.mi.com/xiaomihyperxiaoai/zh_CN/ | https://www.bilibili.com/video/BV1f91eBVESQ/
